cell_id,building_id,area_m2_urbis,terrain_elevation_m_p50,confidence,pixel_count_valid,pixel_count_plausible,plausible_fraction_of_valid,height_p50_m,height_p75_m,height_p90_m,negative_below_noise_count,over_250m_count
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1739283,94,0.0,high,378,378,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1704986,141,0.0,high,568,568,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1695831,150,0.0,high,600,600,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706242,52,0.0,high,208,208,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1632036,121,0.0,high,482,482,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706244,52,0.0,high,210,210,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707339,112,0.0,high,444,444,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1707446,77,0.0,high,310,310,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1709699,48,0.0,high,191,191,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1632009,315,0.0,high,1259,1259,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705072,90,0.0,high,362,362,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1736560,33,0.0,high,133,133,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1808236,194,0.0,high,775,775,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705255,302,0.0,high,1211,1211,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1804101,54,0.0,high,215,215,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1801993,524,0.0,high,2102,2102,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1803187,342,0.0,high,1368,1368,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1699214,232,0.0,high,932,932,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1739284,70,0.0,high,290,290,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705033,55,0.0,high,221,221,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1737929,63,0.0,high,247,247,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1702911,66,0.0,high,260,260,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1742079,117,0.0,high,471,471,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1697032,193,0.0,high,774,774,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1735267,85,0.0,high,334,334,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705044,138,0.0,high,551,551,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1798589,122,0.0,high,489,489,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1698078,128,0.0,high,510,510,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1798590,184,0.0,high,737,737,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1693521,84,0.0,high,336,336,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1708772,105,0.0,high,419,419,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1742040,55,0.0,high,218,218,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1706426,133,0.0,high,534,534,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1736553,7,0.0,medium,27,27,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1709909,42,0.0,high,168,168,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1800704,12,0.0,medium,47,47,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1705045,131,0.0,high,522,522,1.0,0.0,0.0,0.0,0,0
bxl-e149000-n169000-s500,https://databrussels.be/id/building/1695755,71,0.0,high,283,283,1.0,0.0,0.0,0.0,0,0
